Contig	220804_BK_C1_DNA_brine_C_sorted RPKM	220805_BK_F1_DNA_brine_sorted RPKM	220805_BK_F3_DNA_brine_C_sorted RPKM	220805_MW_S1_DNA_Brine_sorted RPKM	220805_MW_S2_DNA_Brine_B_sorted RPKM	220805_MW_S3_DNA_Brine_sorted RPKM	220805_MW_S4_DNA_Brine_sorted RPKM	220806_BK_F5_DNA_brine_A_sorted RPKM	220806_BK_F6D_DNA_brine_sorted RPKM	220806_BK_F6E_DNA_brine_sorted RPKM	220806_MW_S5_DNA_Brine_A_sorted RPKM	220806_MW_S6_DNA_Brine_sorted RPKM	220807_BK_F8_DNA_brine_C_sorted RPKM	220807_MW_S7_DNA_Brine_B_sorted RPKM	220807_MW_S8_DNA_Brine_A_sorted RPKM	220808_BK_F10_DNA_brine_B_sorted RPKM	220808_BK_F11_DNA_brine_A_sorted RPKM	220808_BK_F12_DNA_brine_C_sorted RPKM	220808_BK_F13_DNA_brine_C_sorted RPKM	220808_BK_F14_DNA_brine_C_sorted RPKM	220808_BK_F15_DNA_brine_B_sorted RPKM	220808_BK_F9_DNA_brine_A_sorted RPKM	220809_MW_F8_DNA_BrineA_A_sorted RPKM	220809_MW_F8_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineA_A_sorted RPKM	220809_MW_S9_DNA_BrineB_A_sorted RPKM	220809_MW_S9_DNA_BrineC_A_sorted RPKM	220811_JW_F17_DNA_Brine_A_sorted RPKM	220811_JW_F18_DNA_Brine_B_sorted RPKM	220811_JW_F19_DNA_Brine_A_sorted RPKM	220811_JW_F20_DNA_Brine_A_sorted RPKM	220811_JW_F21_DNA_Brine_sorted RPKM	220811_MW_F13_DNA_Brine_B_sorted RPKM	220811_MW_F14_DNA_Brine_C_sorted RPKM	220812_MW_F10_DNA_Brine_B_sorted RPKM	220812_MW_F11_DNA_Brine_A_sorted RPKM	220812_MW_F12_DNA_Brine_B_sorted RPKM	220812_MW_F9_DNA_Brine_sorted RPKM	220813_JW_F23_DNA_Brine_A_sorted RPKM	220813_JW_F25_DNA_Brine_A_sorted RPKM	220813_LF_F9_DNA_Brine_sorted RPKM	220814_MW_F9_DNA_Brine_C_sorted RPKM	220815_LF_B1_DNA_brine_A_sorted RPKM	220815_LF_B2_DNA_brine_B_sorted RPKM	220815_LF_B3_DNA_brine_A_sorted RPKM	220816_LF_B4_DNA_brine_C_sorted RPKM	220816_LF_B5_DNA_brine_C_sorted RPKM	220816_LF_B6_DNA_brine_A_sorted RPKM	220816_LF_B7_DNA_brine_B_sorted RPKM	220817_LF_B8_DNA_brine_C_sorted RPKM
NODE_1018_length_5748_cov_9.474267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1018_length_9021_cov_7.639416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100.62461	73.7017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_101_length_21397_cov_11.094368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.08832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_101_length_42008_cov_50.238267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	331.5679	0	0	0	5300.1514	0	0
NODE_1020_length_4391_cov_8.432426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1570.6586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1389.5026	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1020_length_9339_cov_17.897566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.24533	0	0	0
NODE_1021_length_14236_cov_98.743460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	370.1114	0
NODE_1021_length_4724_cov_5.113086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.78698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.35392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1021_length_6506_cov_19.354829	0	0	0	0	0	0	0	0	0	0	0	182.5669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1022_length_6504_cov_5.654055	0	0	0	0	0	0	0	0	0	0	0	57.38046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1022_length_9004_cov_6.816963	0	0	0	0	0	0	0	0	0	0	0	0	97.257545	0	0	0	0	0	0	0	0	0	95.32809	86.78579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1023_length_8853_cov_6.156058	0	0	0	0	0	366.78287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1025_length_4708_cov_22.485708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148.65938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240.77264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1025_length_8985_cov_13.613662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190.23462	124.42458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1026_length_7190_cov_131.129783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2239.4895	0	0	0	0
NODE_1026_length_9691_cov_32.006019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285.4553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333.5618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_1028_length_4691_cov_20.311260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.64006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262.53354	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NODE_102_length_28759_cov_57.027139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1013.67053	0	0	0	456.46536
NODE_102_length_5630_cov_15.725381	0	0	0	0	0	0	0	0	0	0	2441.1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
