File,Median_pI,n_structural
k141_196257.faa,5.092625999450683,3
k141_1098325.faa,7.334350204467773,2
k141_216216.faa,5.481575202941894,1
k141_1575516.faa,4.683271598815917,2
k141_1706554.faa,6.069745063781738,2
k141_1328338.faa,4.802917671203613,1
k141_82785.faa,8.310766601562499,2
k141_817094.faa,4.6152353286743155,1
k141_917719.faa,6.972007179260253,1
k141_1678049.faa,4.507070732116699,1
k141_1098494.faa,4.907501411437988,1
k141_771907.faa,4.621771812438964,1
k141_1030530.faa,5.231512069702148,2
k141_1334936.faa,9.30054759979248,1
k141_997125.faa,7.347997093200684,3
k141_1453248.faa,5.348913002014159,2
k141_1516066.faa,5.072846031188964,1
k141_1294558.faa,5.110984992980956,3
k141_365788.faa,4.671164894104004,4
k141_1010347.faa,6.049197959899901,2
k141_406706.faa,4.822726058959962,4
k141_712907.faa,4.677189826965332,1
k141_761057.faa,4.193546867370605,1
k141_1548330.faa,4.639676094055175,1
k141_1048879.faa,4.870897102355956,1
k141_42006.faa,4.188829231262207,1
k141_1505542.faa,7.028763771057129,2
k141_1139064.faa,7.132857704162597,2
k141_140573.faa,4.831905555725096,3
k141_1335194.faa,5.768157386779785,1
k141_1206238.faa,4.116189002990722,1
k141_377367.faa,6.925683403015137,1
k141_653032.faa,5.9807067871093755,2
k141_981551.faa,4.503944587707521,1
k141_1173178.faa,4.0500284194946286,1
k141_125498.faa,4.0500284194946286,1
k141_736867.faa,5.113429069519043,1
k141_1615918.faa,4.354145431518555,4
k141_1698382.faa,4.710270118713378,5
k141_904566.faa,4.785524940490721,1
k141_113116.faa,4.514800834655762,3
k141_720787.faa,5.288663673400878,1
k141_254583.faa,6.740104103088379,1
k141_1519618.faa,5.204598808288574,1
k141_592827.faa,4.79078254699707,2
k141_1703834.faa,5.7075954437255865,2
k141_1235803.faa,4.674120521545409,1
k141_1285695.faa,4.335019111633302,1
k141_1225345.faa,5.6191255569458,1
k141_251362.faa,5.211362648010252,1
k141_948977.faa,5.407911872863769,1
k141_1680240.faa,4.982244682312011,1
k141_380705.faa,6.525650596618653,1
k141_639201.faa,4.330528831481935,1
k141_190753.faa,4.524065589904786,1
k141_1331683.faa,6.279310417175293,1
k141_1419426.faa,8.907097053527831,3
k141_1651394.faa,4.388106727600097,1
k141_816406.faa,4.314386558532714,2
k141_1457775.faa,5.741812515258788,4
k141_9291.faa,8.062819099426267,1
k141_1137276.faa,9.766847419738767,1
k141_410401.faa,6.276752662658691,1
k141_1547599.faa,5.226424980163573,1
k141_761240.faa,4.735620307922363,1
k141_170658.faa,4.590226173400879,1
k141_1274446.faa,7.290817070007324,1
k141_321256.faa,4.470125389099122,2
k141_1237386.faa,6.41632080078125,2
k141_1388762.faa,5.280990409851074,3
k141_62937.faa,8.742348098754881,2
k141_1414062.faa,4.843728065490722,1
k141_1210711.faa,5.756164360046387,1
k141_1010971.faa,4.871351814270019,2
k141_876292.faa,4.45818920135498,6
k141_594846.faa,8.558967781066897,1
k141_1267566.faa,5.247569084167479,1
k141_1665186.faa,4.95757656097412,1
k141_1223324.faa,7.431727409362793,2
k141_220821.faa,4.873056983947753,1
k141_937225.faa,9.643100357055664,2
k141_1468354.faa,4.554531288146973,1
k141_1084679.faa,5.082451820373534,1
k141_945857.faa,4.418742942810059,1
k141_1544866.faa,9.471002006530764,1
k141_453302.faa,4.280226325988769,3
k141_65282.faa,4.663093757629396,2
k141_952668.faa,5.64615249633789,2
k141_1494460.faa,4.103457069396971,1
k141_1214775.faa,9.915704917907714,1
k141_714224.faa,4.824516487121582,3
k141_42173.faa,4.519859504699707,1
k141_232766.faa,6.919007492065431,2
k141_900660.faa,5.587409400939941,1
k141_1267957.faa,7.092938232421874,2
